ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
610208791,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Darryl Rathbun,2023-09-07,2023,9,7,1411,Ireland,IE-L-DN,Leinster,Dublin,Merrion Square,53.3397639,-6.2492734,"",,Unspecified,"","",,,,,,,S149186218,"",,,,,Columba palumbus,comwop1,Group,1907,,.00,0,,1592,2121
610208786,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Darryl Rathbun,2023-09-07,2023,9,7,1411,Ireland,IE-L-DN,Leinster,Dublin,Merrion Square,53.3397639,-6.2492734,"",,Unspecified,"","",,,,,,,S149186218,"",,,,,Columba palumbus,comwop1,Group,1907,,.00,0,,1961,2609
610099470,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,David Robinson,2023-06-29,2023,6,29,537,United Kingdom,GB-SCT-PKN,Scotland,Perthshire and Kinross,"Private Residence, Perth GB-Scotland 56.50122, -3.51603",56.5012262,-3.5161963,Adult – 1,Foraging or Eating,Unspecified,"","",,,,,,,S143007512,"",,,,,Columba palumbus,comwop1,Group,1907,,.00,0,Habitat,3925,3241
610099468,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,David Robinson,2023-06-29,2023,6,29,537,United Kingdom,GB-SCT-PKN,Scotland,Perthshire and Kinross,"Private Residence, Perth GB-Scotland 56.50122, -3.51603",56.5012262,-3.5161963,Adult – 1,"",Unspecified,"","",,,,,,,S143007512,"",,,,,Columba palumbus,comwop1,Group,1907,,.00,0,Habitat,4149,3700
610099467,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,David Robinson,2023-06-29,2023,6,29,537,United Kingdom,GB-SCT-PKN,Scotland,Perthshire and Kinross,"Private Residence, Perth GB-Scotland 56.50122, -3.51603",56.5012262,-3.5161963,Adult – 1,"",Unspecified,"","",,,,,,,S143007512,"",,,,,Columba palumbus,comwop1,Group,1907,,.00,0,Habitat,2981,2521
610099466,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,David Robinson,2023-06-29,2023,6,29,537,United Kingdom,GB-SCT-PKN,Scotland,Perthshire and Kinross,"Private Residence, Perth GB-Scotland 56.50122, -3.51603",56.5012262,-3.5161963,Adult – 1,"",Unspecified,"","",,,,,,,S143007512,"",,,,,Columba palumbus,comwop1,Group,1907,,.00,0,Habitat,3104,2675
610073599,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Tristan ap Rheinallt,2023-10-14,2023,10,14,1419,United Kingdom,GB-ENG-ERY,England,East Riding of Yorkshire,Flamborough--South Landing LNR,54.1056490,-0.1189742,"",,Unspecified,"","",,,,,,,S152179069,"",,,,,Columba palumbus,comwop1,Group,1907,,.00,0,,667,1000
610055352,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Neema Das,2023-10-08,2023,10,8,927,United Kingdom,GB-ENG-OXF,England,Oxfordshire,Headington Hill Park,51.7548220,-1.2327480,"",,Unspecified,"","",,,,,,,S151681320,"",,,,,Columba palumbus,comwop1,Group,1907,,.00,0,,,
610054589,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Neema Das,2023-10-08,2023,10,8,927,United Kingdom,GB-ENG-OXF,England,Oxfordshire,Headington Hill Park,51.7548220,-1.2327480,"",,Unspecified,"","",,,,,,,S151681320,"",,,,,Columba palumbus,comwop1,Group,1907,,.00,0,,3456,5184
610054527,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Frank Hemmings,2013-05-26,2013,5,26,0,United Kingdom,GB-ENG-LND,England,London,"St James's Park (do not list Barnacle Goose and other captive birds)",51.5031329,-0.1338959,"",,Unspecified,"","",,,,,,,S92307376,"",,,,,Columba palumbus,comwop1,Group,1907,,.00,0,,1536,2048
609863299,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Jay Solanki,2023-10-12,2023,10,12,1412,United Kingdom,GB-ENG-LND,England,London,"63 South Edwardes Square, England, GB (51.497, -0.2)",51.4972024,-0.2004747,"",,Unspecified,"","",,,,,,,S152028308,"",,,,,Columba palumbus,comwop1,Group,1907,,.00,0,,1628,2048
