ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
439548711,Photo,Great Tit (Great),Parus major [major Group],,Wouter Van Gasse,2022-04-10,2022,4,10,1730,Belgium,BE-VLG,Vlaamse Gewest,,Bazel - My garden,51.1520589,4.3058976,Adult – 2,Foraging or Eating,Unspecified,"","",,,,,,,S107950377,"",,,,,Parus major,gretit3,Group,21787,,.00,0,"",1875,3000
439003151,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-21,2022,4,21,1559,United Kingdom,GB-ENG-OXF,England,Oxfordshire,Port Meadow,51.7676274,-1.2788773,"",,Unspecified,"","",,,,,,,S107623078,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
438501701,Photo,Great Tit (Great),Parus major [major Group],,Fattaneh Tabatabaee,2022-03-20,2022,3,20,725,Iran,IR-07,Tehran,,Tehran--Police Park--North of Esteqlal Blvd.--پارک پلیس,35.7593114,51.5438926,"",,Unspecified,"","",,,,,,,S105198451,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3456,5184
438278651,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-19,2022,4,19,1704,United Kingdom,GB-ENG-OXF,England,Oxfordshire,Marston Meadows,51.7651716,-1.2458818,"",,Unspecified,"","",,,,,,,S107480074,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
438278641,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-19,2022,4,19,1704,United Kingdom,GB-ENG-OXF,England,Oxfordshire,Marston Meadows,51.7651716,-1.2458818,"",,Unspecified,"","",,,,,,,S107480074,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
438278631,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-19,2022,4,19,1704,United Kingdom,GB-ENG-OXF,England,Oxfordshire,Marston Meadows,51.7651716,-1.2458818,"",,Unspecified,"","",,,,,,,S107480074,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
438278611,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-19,2022,4,19,1704,United Kingdom,GB-ENG-OXF,England,Oxfordshire,Marston Meadows,51.7651716,-1.2458818,"",,Unspecified,"","",,,,,,,S107480074,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
438278591,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-19,2022,4,19,1704,United Kingdom,GB-ENG-OXF,England,Oxfordshire,Marston Meadows,51.7651716,-1.2458818,"",,Unspecified,"","",,,,,,,S107480074,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
438278571,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-19,2022,4,19,1704,United Kingdom,GB-ENG-OXF,England,Oxfordshire,Marston Meadows,51.7651716,-1.2458818,"",,Unspecified,"","",,,,,,,S107480074,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
438278541,Photo,Great Tit (Great),Parus major [major Group],,William Buswell,2022-04-19,2022,4,19,1704,United Kingdom,GB-ENG-OXF,England,Oxfordshire,Marston Meadows,51.7651716,-1.2458818,"",,Unspecified,"","",,,,,,,S107480074,"",,,,,Parus major,gretit3,Group,21787,,.00,0,,3672,4896
