ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
612322660,Photo,Eurasian Blackbird,Turdus merula,,Alfie Benbow,2023-12-09,2023,12,9,1142,New Zealand,NZ-WGN-047,Wellington,Wellington City,Zealandia Te Mara a Tane Wildlife Sanctuary (General),-41.2954325,174.7487384,"",,Unspecified,"","",,,,,,,S155979930,"",,,,,Turdus merula,eurbla,Species,27987,,4.75,4,,1403,2048
293127511,Photo,Eurasian Blackbird,Turdus merula,,Michael Stubblefield,2014-11-10,2014,11,10,900,New Zealand,NZ-STL-075,Southland,Invercargill City,"Queens Park, Invercargill, NZ",-46.4047897,168.3598566,Adult Male,Foraging or Eating,Unspecified,"","",,,,,,,S78393022,"",,,"Eurasian Blackbird (Turdus merula merula), adult male foraging in Queens Park, Invercargill, Southland, New Zealand.",,Turdus merula,eurbla,Species,27987,,4.75,4,Habitat,3456,5184
293127411,Photo,Eurasian Blackbird,Turdus merula,,Michael Stubblefield,2014-11-10,2014,11,10,900,New Zealand,NZ-STL-075,Southland,Invercargill City,"Queens Park, Invercargill, NZ",-46.4047897,168.3598566,Adult Male,Foraging or Eating,Unspecified,"","",,,,,,,S78393022,"",,,"Eurasian Blackbird (Turdus merula merula), adult male bathing in Queens Park, Invercargill, Southland, New Zealand.",,Turdus merula,eurbla,Species,27987,,4.75,4,Habitat,2411,3616
293101151,Photo,Eurasian Blackbird,Turdus merula,,Michael Stubblefield,2014-11-09,2014,11,9,800,New Zealand,NZ-STL-075,Southland,Invercargill City,"Queens Park, Invercargill, NZ",-46.4047897,168.3598566,Immature Male,Foraging or Eating,Unspecified,"","",,,,,,,S63109270,"",,,"Eurasian Blackbird (Turdus merula merula), immature male resting in a tree in Queens Park, Invercargill, Southland, New Zealand.",,Turdus merula,eurbla,Species,27987,,4.75,4,Habitat,2981,4472
293101021,Photo,Eurasian Blackbird,Turdus merula,,Michael Stubblefield,2014-11-09,2014,11,9,800,New Zealand,NZ-STL-075,Southland,Invercargill City,"Queens Park, Invercargill, NZ",-46.4047897,168.3598566,Adult Male,Foraging or Eating,Unspecified,"","",,,,,,,S63109270,"",,,"Eurasian Blackbird (Turdus merula merula), adult male foraging in Queens Park, Invercargill, Southland, New Zealand.",,Turdus merula,eurbla,Species,27987,,4.75,4,Habitat,3456,5184
58737671,Photo,Eurasian Blackbird,Turdus merula,,Philip Crutchley,2017-05-21,2017,5,21,841,New Zealand,NZ-CAN-062,Canterbury,Selwyn District,motukarara,-43.7303442,172.5943244,"",,Unspecified,"","",,,,,,,S37015530,"",,,,,Turdus merula,eurbla,Species,27987,,4.75,4,,3456,4608
288157371,Photo,Eurasian Blackbird,Turdus merula,,Lee-Lien WANG,2013-07-28,2013,7,28,1500,New Zealand,NZ-AUK-007,Auckland,Auckland City,Auckland Domain,-36.8574000,174.7763000,"",,Unspecified,"","",,,,,,,S21093209,"",,,,,Turdus merula,eurbla,Species,27987,,4.40,5,,2289,3434
204765431,Photo,Eurasian Blackbird,Turdus merula,,Tomáš Grim,2008-10-26,2008,10,26,1800,New Zealand,NZ-AUK-008,Auckland,Manukau City,Auckland Botanic Gardens,-37.0090879,174.9068233,Adult Female – 1,"",Unspecified,"","",,IBC983766,,,,,S65009027,"",,,"The depressing essence of New Zealand nature: introduced blackbird female incubating her clutch at introduced Araucaria. Elevation: 0 m. Date added to IBC: June 21, 2016.",,Turdus merula,eurbla,Species,27987,,4.20,5,Nest,1359,2008
53746351,Photo,Eurasian Blackbird,Turdus merula,,Imogen Warren,2017-04-08,2017,4,8,830,New Zealand,NZ-MWT-042,Manawatu-Wanganui,Horowhenua District,Foxton Beach--Manawatu estuary (general),-40.4749000,175.2156000,"",,Unspecified,"","",,,,,,,S35776861,"",,,,,Turdus merula,eurbla,Species,27987,,4.50,4,,534,800
611851940,Photo,Eurasian Blackbird,Turdus merula,,Michael Plaster,2023-11-25,2023,11,25,1347,New Zealand,NZ-AUK-004,Auckland,Rodney District,Muriwai Campground/Surf Club,-36.8297602,174.4261980,Adult – 1,"",Unspecified,"","",,,,,,,S155134193,"",,,,,Turdus merula,eurbla,Species,27987,,5.00,3,Habitat,2060,3089
